city,country_code,latitude,longitude
oss,NL,51.7783542,5.5320836
osterburg,DE,52.7899044,11.7526038
osterweddingen,DE,52.0432285,11.5802935
ottmarsheim,FR,47.7888815,7.5094906
oława,PL,50.957093,17.2902698
pakość,PL,52.8073319,18.0899612
pampow,DE,53.5685042,11.3596122
pannes,FR,48.9329939,5.8038889
penig,DE,50.9331827,12.7075852
perlen,CH,47.1097866,8.3604016
philippsburg,DE,49.2367495,8.4546679
piechowice,PL,50.8494747,15.5976047
pilzno,CZ,49.7477415,13.3775249
pinon,FR,49.4874775,3.4484869
piotrków trybunalski,PL,51.4082625,19.696167
pleszew,PL,51.8960985,17.7865673
pobiedziska,PL,52.4773387,17.2870352
podenzano,IT,44.956363,9.684967
poupry,FR,48.0997345,1.8383976
poznań,PL,52.4082663,16.9335199
praha - cerny most,CZ,50.1094016,14.5781822
praha 5,CZ,50.054121,14.3634875
praha-horni pocernice,CZ,50.1166626,14.6124935
pratteln 1,CH,47.531773,7.673878
presles-en-brie,FR,48.7123591,2.7424916
pritzwalk,DE,53.1492896,12.1761903
przechlewo,PL,53.7995842,17.2550402
przytoczna,PL,52.5776,15.67994
puck,PL,54.7203995,18.411338
pudliszki,PL,51.7718026,16.9334472
puerto de sagunto,ES,39.6631732,-0.2208575
pulheim,DE,50.9979888,6.8025409
rabka-zdrój,PL,49.6076663,19.9622575
raciąż,PL,52.7810586,20.118111
radeburg,DE,51.2149248,13.7241174
rakovník,CZ,50.1041136,13.7310462
ransbach-baumbach,DE,50.4667,7.73333
raunheim,DE,50.0097685,8.4499439
rawicz,PL,51.6101629,16.8583657
recklinghausen,DE,51.6143815,7.1978546
recy,FR,48.9894458,4.3154379
reguengo,ES,42.1908301,-8.6409344
reinsdorf,DE,50.6994521,12.5587255
remscheid,DE,51.1798706,7.1943544
renningen,DE,48.7648163,8.9347008
rheda-wiedenbrück,DE,51.8428202,8.2985615
rheinfelden (baden),DE,47.5605924,7.7861959
rijsbergen,NL,51.5158877,4.7005455
robakowo,PL,52.3098969,17.0771599
rodgau,DE,50.0176771,8.8853392
rogozno,PL,52.7523023,16.9936288
roissy-en-france,FR,49.0032865,2.5176985
rossau,DE,50.9980658,13.0477409
rottleberode,DE,51.5183811,10.948648
rouvignies,FR,50.3331679,3.4390416
roye,FR,49.6986186,2.7930755
rubiá,ES,42.4494484,-6.9450653
rudolstadt,DE,50.7206063,11.3401985
rumst,BE,51.0792853,4.4240472
rösrath,DE,50.8963758,7.1825445
rüsselsheim am main,DE,49.9948956,8.4118279
saarbrücken,DE,49.234362,6.996379
saarlouis,DE,49.3164661,6.749846
saint-ghislain,BE,50.4477484,3.8195241
saint-hilaire-les-andrésis,FR,48.0528176,3.0136711
saint-pantaléon-de-larche,FR,45.1406943,1.446519
saint-pierre-des-corps,FR,47.3898152,0.7189761
saint-quentin-fallavier,FR,45.6314982,5.1106322
salzgitter,DE,52.1503721,10.3593147
san giorgio bigarello,IT,45.1805304,10.8717887
sandersdorf - brehna,DE,51.5911163,12.2359037
sanem,LU,49.5476008,5.9272714
sankt ingbert,DE,49.2788378,7.1156707
sankt wendel,DE,49.4669906,7.1696192
sarralbe,FR,48.9998765,7.0299169
sarreguemines,FR,49.1094836,7.0708865
satolas-et-bonce,FR,45.681868,5.1203082
satteldorf,DE,49.1705879,10.0777213
savigny,FR,49.0491048,-1.3392101
schaffhausen,CH,47.6960491,8.634513
schifferstadt,DE,49.3858742,8.3705675
schkeuditz,DE,51.3938624,12.2208538
schkopau,DE,51.3902906,11.9854347
schleusingen,DE,50.5416758,10.7669624
schmitten,CH,46.6876371,9.6728603
schongau,DE,47.8118973,10.8972133
schopfheim,DE,47.6500525,7.8216997
schorndorf,DE,48.8055169,9.5272665
schwabmünchen,DE,48.1805562,10.7578121
schwanewede,DE,53.2254676,8.5943316
schwerin,DE,53.6288297,11.4148038
schwetzingen,DE,49.3832919,8.5735135
schönefeld,DE,52.388552,13.5048276
schönenbuch,CH,47.5372962,7.5019867
schüttorf,DE,52.321619,7.2220864
seesen,DE,51.8905566,10.1703902
senden,DE,48.3251884,10.0471189
sennwald,CH,47.2615026,9.5037691
serris,FR,48.8567,2.7855615
sesto san giovanni,IT,45.5357218,9.2376549
sierpc,PL,52.853177,19.661414
simmerath,DE,50.6072499,6.3005267
singen,DE,47.7617515,8.8348709
sins,CH,47.1910321,8.3946059
siziano,IT,45.3174678,9.2011222
skarbimierz,PL,50.8481636,17.4354948
skierniewice,PL,51.9568581,20.1430044
sochaczew,PL,52.2367219,20.2571236
somain,FR,50.3589237,3.2810972
sorigny,FR,47.241591,0.6939483
soumagne,BE,50.6147718,5.739941
speyer,DE,49.3165553,8.433615
spreitenbach,CH,47.4182444,8.3640342
spáňov,CZ,49.4145127,12.9873068
srebrna góra,PL,50.5755664,16.6589225
stadtroda,DE,50.8582666,11.7263639
starbach,DE,51.0932608,13.2703565
steinbach am wald,DE,50.4391159,11.3697403
stelle,DE,53.3828216,10.1156284
stobno,PL,51.2818865,16.6148455
strancice,CZ,49.9483814,14.6773911
strasbourg,FR,48.584614,7.7507127
straubing,DE,48.8839157,12.5955773
stuttgart,DE,48.7784485,9.1800132
suhr,CH,47.373166,8.079534
suisio,IT,45.655834,9.5001212
sulikow,PL,51.0769746,15.0649842
sursee,CH,47.1725301,8.1067781
swarożyn,PL,54.0381227,18.6627568
swarzedz,PL,52.4103728,17.0771038
szreńsk,PL,53.01147,20.12223
székesfehérvár,HU,47.1910169,18.410811
sülzetal,DE,52.015359,11.5432798
sędziszów gmina,PL,50.564781,20.0538047
tachov,CZ,49.7955449,12.6329861
tamási,HU,46.6293978,18.2850331
tarnowo podgórne,PL,52.4657445,16.6664446
tastrup,DK,55.6522136,12.292049
taufkirchen,DE,48.0459958,11.6151899
teltow,DE,52.3805562,13.2685278
teresin,PL,52.1988856,20.4168294
thiers,FR,45.8555278,3.5486686
thouars,FR,46.9790193,-0.2153741
thulin,BE,50.4233131,3.7452498
tiefenbronn,DE,48.8241414,8.8016252
tomaszów mazowiecki,PL,51.5194865,20.0337541
tordera,ES,41.6977173,2.7172987
tortona,IT,44.89666,8.8641282
toruń,PL,53.0145361,18.5965831
toul,FR,48.6762624,5.8941759
trappes,FR,48.7760957,1.9988356
trebur,DE,49.9133,8.3853
treviglio,IT,45.5217245,9.5931485
trier,DE,49.7596208,6.6441878
trilport,FR,48.9585984,2.9471072
trith-saint-léger,FR,50.3245906,3.4845838
trzebania,PL,51.8831377,16.6501753
trzebnica,PL,51.3096424,17.062596
tuchola,PL,53.5880901,17.8590414
turnhout,BE,51.328932,4.9299924
uffenheim,DE,49.5447684,10.2304674
ulft,NL,51.898124,6.3784647
ulm,DE,48.3984968,9.9912458
unna,DE,51.5348835,7.689014
usti nad labem,CZ,50.6603327,14.0381357
vaihingen an der enz,DE,48.9321398,8.9568316
valluhn,DE,53.5262154,10.8429675
varennes-sur-allier,FR,46.3127469,3.4033756
vechta,DE,52.7310691,8.2873162
veitshochheim,DE,49.8324007,9.8723628
velký šenov,CZ,50.9907708,14.3780786
venette,FR,49.4162216,2.8007412
vert-saint-denis,FR,48.5671024,2.6252499
vieux-thann,FR,47.8070778,7.1217043
villefranche sur saone,FR,45.9864749,4.726611
villette-d'anthon,FR,45.79451,5.1130506
villmergen,CH,47.3471991,8.244908
vilvoorde,BE,50.928711,4.423126
vojens,DK,55.2464268,9.3082416
volvic,FR,45.872542,3.0375701
vrskman,CZ,50.4881587,13.4956178
waldenburg,DE,50.8743975,12.6003812
waldshut-tiengen,DE,47.6281754,8.2408579
wangen bei olten,CH,47.3417691,7.8708649
warszawa,PL,52.2333742,21.0711489
wałbrzych,PL,50.785221,16.2846403
weesp,NL,52.3072593,5.0420822
weil am rhein,DE,47.6056484,7.6120793
weilerswist,DE,50.7580669,6.8407873
weinsberg,DE,49.1504172,9.2865471
weiterstadt,DE,49.9178,8.5924
weißenfels,DE,51.1999793,11.9667857
wenzendorf,DE,53.3514838,9.7682921
werne,DE,51.66268,7.6355052
werra-suhl-tal,DE,50.9214071,10.0883617
westerkappeln,DE,52.3141716,7.8772237
wevelgem,BE,50.8089591,3.1841013
widnau,CH,47.4053426,9.6356294
wiefelstede,DE,53.2558626,8.1150123
wierzbica,PL,51.2492925,21.0792463
wieseth,DE,49.1622311,10.483479
wiesloch,DE,49.2942599,8.698707
wijewo,PL,51.91872,16.18619
wildberg,DE,53.6530029,13.1232854
willebroek,BE,51.0606816,4.3588917
willisau,CH,47.1215184,7.99659
winterthur,CH,47.4991723,8.7291498
wiskitki,PL,52.0868993,20.3832461
wismar,DE,53.8909832,11.4647932
wissous,FR,48.7316381,2.3268669
wohlen,CH,47.3504945,8.2786906
wolnzach,DE,48.603,11.6269977
wolsztyn,PL,52.11725,16.1126622
worms,DE,49.6302618,8.3620898
wołów,PL,51.3363841,16.6486903
